Route,Source,Page family,Review basis,Next optimization
/admin/revenue,src/app/admin/(dashboard)/revenue/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/scanner-lab,src/app/admin/(dashboard)/scanner-lab/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/slabby-lab,src/app/admin/(dashboard)/slabby-lab/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/users,src/app/admin/(dashboard)/users/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/login,src/app/admin/login/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/affiliates,src/app/affiliates/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/ai-card-grading,src/app/ai-card-grading/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/ai-card-grading-accuracy,src/app/ai-card-grading-accuracy/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/auth/callback,src/app/auth/callback/page.tsx,Account / utility,Source/template review; see report for browser sample coverage,"Prioritize clear form hierarchy, focus, errors and one task CTA; no large card rail."
/blog/[slug],src/app/blog/[slug]/page.tsx,Blog,Source/template review; see report for browser sample coverage,"Consistent image aspect ratios, title wrapping and real explanatory card photography; no mass hero changes."
/blog/category/[category],src/app/blog/category/[category]/page.tsx,Blog,Source/template review; see report for browser sample coverage,"Consistent image aspect ratios, title wrapping and real explanatory card photography; no mass hero changes."
/blog,src/app/blog/page.tsx,Blog,Source/template review; see report for browser sample coverage,"Consistent image aspect ratios, title wrapping and real explanatory card photography; no mass hero changes."
/card-grading,src/app/card-grading/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/card-grading-companies,src/app/card-grading-companies/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/card-lovers,src/app/card-lovers/page.tsx,Pricing / memberships,Source/template review; see report for browser sample coverage,Unique card selections; prices above large visuals; retain single-card membership sliders.
/card-lovers/success,src/app/card-lovers/success/page.tsx,Account / utility,Source/template review; see report for browser sample coverage,"Prioritize clear form hierarchy, focus, errors and one task CTA; no large card rail."
/card-shows/[slug],src/app/card-shows/[slug]/page.tsx,Events,Source/template review; see report for browser sample coverage,Replace emoji UI; consistent CTA sizing; retain event identity; real card evidence near grading explanation.
/card-shows,src/app/card-shows/page.tsx,Events,Source/template review; see report for browser sample coverage,Replace emoji UI; consistent CTA sizing; retain event identity; real card evidence near grading explanation.
/cheapest-card-grading,src/app/cheapest-card-grading/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/collection/[username],src/app/collection/[username]/page.tsx,Collection,Source/template review; see report for browser sample coverage,Refine toolbar counts and nested interactive card semantics; remove decorative membership gradients/emoji controls.
/collection,src/app/collection/page.tsx,Collection,Source/template review; see report for browser sample coverage,Refine toolbar counts and nested interactive card semantics; remove decorative membership gradients/emoji controls.
/contact,src/app/contact/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/credits,src/app/credits/page.tsx,Pricing / memberships,Source/template review; see report for browser sample coverage,Unique card selections; prices above large visuals; retain single-card membership sliders.
/credits/success,src/app/credits/success/page.tsx,Account / utility,Source/template review; see report for browser sample coverage,"Prioritize clear form hierarchy, focus, errors and one task CTA; no large card rail."
/data-deletion-status,src/app/data-deletion-status/page.tsx,Account / utility,Source/template review; see report for browser sample coverage,"Prioritize clear form hierarchy, focus, errors and one task CTA; no large card rail."
/dev/design-system,src/app/dev/design-system/page.tsx,Development preview,Source/template review; see report for browser sample coverage,Keep out of production/indexing; no creative redesign priority.
/dev/experience-review,src/app/dev/experience-review/page.tsx,Development preview,Source/template review; see report for browser sample coverage,Keep out of production/indexing; no creative redesign priority.
/dev/heritage-compact,src/app/dev/heritage-compact/page.tsx,Development preview,Source/template review; see report for browser sample coverage,Keep out of production/indexing; no creative redesign priority.
/dev/label-designer,src/app/dev/label-designer/page.tsx,Development preview,Source/template review; see report for browser sample coverage,Keep out of production/indexing; no creative redesign priority.
/dev/pdf-proof,src/app/dev/pdf-proof/page.tsx,Development preview,Source/template review; see report for browser sample coverage,Keep out of production/indexing; no creative redesign priority.
/ebay/connect,src/app/ebay/connect/page.tsx,InstaList,Source/template review; see report for browser sample coverage,Show actual listing preparation and outcome; unify bulk/status/error/empty states.
/ebay-auth-success,src/app/ebay-auth-success/page.tsx,InstaList,Source/template review; see report for browser sample coverage,Show actual listing preparation and outcome; unify bulk/status/error/empty states.
/ebay-image-prep/[cardId],src/app/ebay-image-prep/[cardId]/page.tsx,InstaList,Source/template review; see report for browser sample coverage,Show actual listing preparation and outcome; unify bulk/status/error/empty states.
/enterprise/[slug]/card/[id],src/app/enterprise/[slug]/card/[id]/page.tsx,Enterprise / store workspace,Source/template review; see report for browser sample coverage,Dedicated follow-on pass; preserve organization branding and checkout settings.
/enterprise/[slug],src/app/enterprise/[slug]/page.tsx,Enterprise / store workspace,Source/template review; see report for browser sample coverage,Dedicated follow-on pass; preserve organization branding and checkout settings.
/enterprise/apply,src/app/enterprise/apply/page.tsx,Enterprise public,Source/template review; see report for browser sample coverage,"Separate store-owner value proposition, product visuals and primary application CTA."
/enterprise/launch-kit,src/app/enterprise/launch-kit/page.tsx,Enterprise public,Source/template review; see report for browser sample coverage,"Separate store-owner value proposition, product visuals and primary application CTA."
/enterprise,src/app/enterprise/page.tsx,Enterprise public,Source/template review; see report for browser sample coverage,"Separate store-owner value proposition, product visuals and primary application CTA."
/enterprise/terms,src/app/enterprise/terms/page.tsx,Enterprise public,Source/template review; see report for browser sample coverage,"Separate store-owner value proposition, product visuals and primary application CTA."
/faq,src/app/faq/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/fastest-card-grading,src/app/fastest-card-grading/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/featured,src/app/featured/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/forgot-password,src/app/forgot-password/page.tsx,Account / utility,Source/template review; see report for browser sample coverage,"Prioritize clear form hierarchy, focus, errors and one task CTA; no large card rail."
/founders,src/app/founders/page.tsx,Redirect / verification,Source/template review; see report for browser sample coverage,Preserve destination and invalid-link states; no duplicate marketing page.
/founders/success,src/app/founders/success/page.tsx,Account / utility,Source/template review; see report for browser sample coverage,"Prioritize clear form hierarchy, focus, errors and one task CTA; no large card rail."
/get-started,src/app/get-started/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/grade-your-first-card,src/app/grade-your-first-card/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/grading-limitations,src/app/grading-limitations/page.tsx,Policy / reference,Source/template review; see report for browser sample coverage,Readable document hierarchy; no decorative imagery needed.
/grading-rubric,src/app/grading-rubric/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/grading-standard,src/app/grading-standard/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/instalist-marketplace/bulk/[batchId],src/app/instalist-marketplace/bulk/[batchId]/page.tsx,InstaList,Source/template review; see report for browser sample coverage,Show actual listing preparation and outcome; unify bulk/status/error/empty states.
/instalist-marketplace,src/app/instalist-marketplace/page.tsx,InstaList,Source/template review; see report for browser sample coverage,Show actual listing preparation and outcome; unify bulk/status/error/empty states.
/label-export/[cardId],src/app/label-export/[cardId]/page.tsx,Label tools,Source/template review; see report for browser sample coverage,Unify wizard/classic workspace controls; preserve exported label artwork and typography.
/label-export/batch,src/app/label-export/batch/page.tsx,Label tools,Source/template review; see report for browser sample coverage,Unify wizard/classic workspace controls; preserve exported label artwork and typography.
/label-preview/[cardId],src/app/label-preview/[cardId]/page.tsx,Label tools,Source/template review; see report for browser sample coverage,Unify wizard/classic workspace controls; preserve exported label artwork and typography.
/labels/classic,src/app/labels/classic/page.tsx,Label tools,Source/template review; see report for browser sample coverage,Unify wizard/classic workspace controls; preserve exported label artwork and typography.
/labels,src/app/labels/page.tsx,Label tools,Source/template review; see report for browser sample coverage,Unify wizard/classic workspace controls; preserve exported label artwork and typography.
/login,src/app/login/page.tsx,Account / utility,Source/template review; see report for browser sample coverage,"Prioritize clear form hierarchy, focus, errors and one task CTA; no large card rail."
/lorcana/[id],src/app/lorcana/[id]/page.tsx,Card report,Source/template review; see report for browser sample coverage,Compact grade+subgrade+image workspace; original/cropped view choice; shared grade chips; preserve all analysis.
/lorcana/upload,src/app/lorcana/upload/page.tsx,Submission workflow,Source/template review; see report for browser sample coverage,Task-first forms; photo-quality guidance; honest status; keyboard/error/recovery checks without fake progress.
/lorcana-database,src/app/lorcana-database/page.tsx,Card databases,Source/template review; see report for browser sample coverage,Reduce header depth; put search sooner; preserve status colors and catalog/graded distinction.
/market-pricing,src/app/market-pricing/page.tsx,Portfolio,Source/template review; see report for browser sample coverage,"Consistent chart/grade semantics, clear price source/date and workflow actions."
/mtg/[id],src/app/mtg/[id]/page.tsx,Card report,Source/template review; see report for browser sample coverage,Compact grade+subgrade+image workspace; original/cropped view choice; shared grade chips; preserve all analysis.
/mtg-database,src/app/mtg-database/page.tsx,Card databases,Source/template review; see report for browser sample coverage,Reduce header depth; put search sooner; preserve status colors and catalog/graded distinction.
/onepiece/[id],src/app/onepiece/[id]/page.tsx,Card report,Source/template review; see report for browser sample coverage,Compact grade+subgrade+image workspace; original/cropped view choice; shared grade chips; preserve all analysis.
/onepiece/upload,src/app/onepiece/upload/page.tsx,Submission workflow,Source/template review; see report for browser sample coverage,Task-first forms; photo-quality guidance; honest status; keyboard/error/recovery checks without fake progress.
/onepiece-database,src/app/onepiece-database/page.tsx,Card databases,Source/template review; see report for browser sample coverage,Reduce header depth; put search sooner; preserve status colors and catalog/graded distinction.
/other/[id],src/app/other/[id]/page.tsx,Card report,Source/template review; see report for browser sample coverage,Compact grade+subgrade+image workspace; original/cropped view choice; shared grade chips; preserve all analysis.
/other/upload,src/app/other/upload/page.tsx,Submission workflow,Source/template review; see report for browser sample coverage,Task-first forms; photo-quality guidance; honest status; keyboard/error/recovery checks without fake progress.
/,src/app/page.tsx,Homepage,Source/template review; see report for browser sample coverage,Keep showreel and current hierarchy; final framing/motion/phone check; no new hero redesign.
/pokemon/[id],src/app/pokemon/[id]/page.tsx,Card report,Source/template review; see report for browser sample coverage,Compact grade+subgrade+image workspace; original/cropped view choice; shared grade chips; preserve all analysis.
/pokemon-database,src/app/pokemon-database/page.tsx,Card databases,Source/template review; see report for browser sample coverage,Reduce header depth; put search sooner; preserve status colors and catalog/graded distinction.
/pokemon-grading,src/app/pokemon-grading/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/pop/[category],src/app/pop/[category]/page.tsx,Population data,Source/template review; see report for browser sample coverage,Keep real SSR data/charts; share grade colors and explicit metric definitions; error/loading treatment.
/pop,src/app/pop/page.tsx,Population data,Source/template review; see report for browser sample coverage,Keep real SSR data/charts; share grade colors and explicit metric definitions; error/loading treatment.
/privacy,src/app/privacy/page.tsx,Policy / reference,Source/template review; see report for browser sample coverage,Readable document hierarchy; no decorative imagery needed.
/psa-alternative,src/app/psa-alternative/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/reports-and-labels,src/app/reports-and-labels/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/reset-password,src/app/reset-password/page.tsx,Account / utility,Source/template review; see report for browser sample coverage,"Prioritize clear form hierarchy, focus, errors and one task CTA; no large card rail."
/search,src/app/search/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/shop,src/app/shop/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/sports/[id],src/app/sports/[id]/page.tsx,Card report,Source/template review; see report for browser sample coverage,Compact grade+subgrade+image workspace; original/cropped view choice; shared grade chips; preserve all analysis.
/sports-database,src/app/sports-database/page.tsx,Card databases,Source/template review; see report for browser sample coverage,Reduce header depth; put search sooner; preserve status colors and catalog/graded distinction.
/sports-grading,src/app/sports-grading/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/starwars/[id],src/app/starwars/[id]/page.tsx,Card report,Source/template review; see report for browser sample coverage,Compact grade+subgrade+image workspace; original/cropped view choice; shared grade chips; preserve all analysis.
/starwars-database,src/app/starwars-database/page.tsx,Card databases,Source/template review; see report for browser sample coverage,Reduce header depth; put search sooner; preserve status colors and catalog/graded distinction.
/store/billing,src/app/store/billing/page.tsx,Enterprise / store workspace,Source/template review; see report for browser sample coverage,Dedicated follow-on pass; preserve organization branding and checkout settings.
/store/settings,src/app/store/settings/page.tsx,Enterprise / store workspace,Source/template review; see report for browser sample coverage,Dedicated follow-on pass; preserve organization branding and checkout settings.
/store/welcome,src/app/store/welcome/page.tsx,Enterprise / store workspace,Source/template review; see report for browser sample coverage,Dedicated follow-on pass; preserve organization branding and checkout settings.
/submissions/[id],src/app/submissions/[id]/page.tsx,Submission workflow,Source/template review; see report for browser sample coverage,Task-first forms; photo-quality guidance; honest status; keyboard/error/recovery checks without fake progress.
/submissions/new,src/app/submissions/new/page.tsx,Submission workflow,Source/template review; see report for browser sample coverage,Task-first forms; photo-quality guidance; honest status; keyboard/error/recovery checks without fake progress.
/submissions,src/app/submissions/page.tsx,Submission workflow,Source/template review; see report for browser sample coverage,Task-first forms; photo-quality guidance; honest status; keyboard/error/recovery checks without fake progress.
/terms,src/app/terms/page.tsx,Policy / reference,Source/template review; see report for browser sample coverage,Readable document hierarchy; no decorative imagery needed.
/test-8167,src/app/test-8167/page.tsx,Development preview,Source/template review; see report for browser sample coverage,Keep out of production/indexing; no creative redesign priority.
/unsubscribe,src/app/unsubscribe/page.tsx,Account / utility,Source/template review; see report for browser sample coverage,"Prioritize clear form hierarchy, focus, errors and one task CTA; no large card rail."
/upload/mtg,src/app/upload/mtg/page.tsx,Submission workflow,Source/template review; see report for browser sample coverage,Task-first forms; photo-quality guidance; honest status; keyboard/error/recovery checks without fake progress.
/upload/onepiece,src/app/upload/onepiece/page.tsx,Submission workflow,Source/template review; see report for browser sample coverage,Task-first forms; photo-quality guidance; honest status; keyboard/error/recovery checks without fake progress.
/upload,src/app/upload/page.tsx,Submission workflow,Source/template review; see report for browser sample coverage,Task-first forms; photo-quality guidance; honest status; keyboard/error/recovery checks without fake progress.
/upload/pokemon,src/app/upload/pokemon/page.tsx,Submission workflow,Source/template review; see report for browser sample coverage,Task-first forms; photo-quality guidance; honest status; keyboard/error/recovery checks without fake progress.
/upload/sports,src/app/upload/sports/page.tsx,Submission workflow,Source/template review; see report for browser sample coverage,Task-first forms; photo-quality guidance; honest status; keyboard/error/recovery checks without fake progress.
/verify/[serial],src/app/verify/[serial]/page.tsx,Redirect / verification,Source/template review; see report for browser sample coverage,Preserve destination and invalid-link states; no duplicate marketing page.
/vip,src/app/vip/page.tsx,Pricing / memberships,Source/template review; see report for browser sample coverage,Unique card selections; prices above large visuals; retain single-card membership sliders.
/why-dcm,src/app/why-dcm/page.tsx,Capability overview,Source/template review; see report for browser sample coverage,Fix separated signed-in CTA; preserve comprehensive tools; add condition crops and actual product screenshots.
/yugioh/[id],src/app/yugioh/[id]/page.tsx,Card report,Source/template review; see report for browser sample coverage,Compact grade+subgrade+image workspace; original/cropped view choice; shared grade chips; preserve all analysis.
/yugioh-database,src/app/yugioh-database/page.tsx,Card databases,Source/template review; see report for browser sample coverage,Reduce header depth; put search sooner; preserve status colors and catalog/graded distinction.
