Campaign,Ad Group,Ad type,Final URL,Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Headline 2 position,Headline 3 position,Headline 4 position,Headline 5 position,Headline 6 position,Headline 7 position,Headline 8 position,Headline 9 position,Headline 10 position,Headline 11 position,Headline 12 position,Headline 13 position,Headline 14 position,Headline 15 position,Description 1,Description 2,Description 3,Description 4
Show - Culture Collision Atlanta Sep 2026,Culture Collision - Atlanta Card Show,Responsive search ad,https://www.dcmgrading.com/card-shows/culture-collision-atlanta-fall-2026,Enabled,"Card Show In Atlanta, GA",Culture Collision 2026,"Sep 4-6 · Duluth, GA",At Gas South Convention Center,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Culture Collision: Sep 4-6 at Gas South Convention Center. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Culture Collision Atlanta Sep 2026,Culture Collision - Venue,Responsive search ad,https://www.dcmgrading.com/card-shows/culture-collision-atlanta-fall-2026,Enabled,At Gas South Convention Center,Culture Collision 2026,"Sep 4-6 · Duluth, GA","Card Show In Atlanta, GA","Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Culture Collision: Sep 4-6 at Gas South Convention Center. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Collect-A-Con SF San Francisco Sep 2026,Collect-A-Con SF - Show Name,Responsive search ad,https://www.dcmgrading.com/card-shows/collect-a-con-san-francisco-2026,Enabled,Collect-A-Con SF 2026,"Sep 12-13 · San Francisco, CA","Card Show In San Francisco, CA",At Moscone Center,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Collect-A-Con SF: Sep 12-13 at Moscone Center. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Collect-A-Con SF San Francisco Sep 2026,Collect-A-Con SF - San Francisco Card Show,Responsive search ad,https://www.dcmgrading.com/card-shows/collect-a-con-san-francisco-2026,Enabled,"Card Show In San Francisco, CA",Collect-A-Con SF 2026,"Sep 12-13 · San Francisco, CA",At Moscone Center,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Collect-A-Con SF: Sep 12-13 at Moscone Center. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Collect-A-Con SF San Francisco Sep 2026,Collect-A-Con SF - Venue,Responsive search ad,https://www.dcmgrading.com/card-shows/collect-a-con-san-francisco-2026,Enabled,At Moscone Center,Collect-A-Con SF 2026,"Sep 12-13 · San Francisco, CA","Card Show In San Francisco, CA","Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Collect-A-Con SF: Sep 12-13 at Moscone Center. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Northeast Card Expo Stamford Sep 2026,Northeast Card Expo - Show Name,Responsive search ad,https://www.dcmgrading.com/card-shows/northeast-card-expo-stamford-2026,Enabled,Northeast Card Expo 2026,"Sep 12-13 · Stamford, CT","Card Show In Stamford, CT",At Chelsea Piers CT,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Northeast Card Expo: Sep 12-13 at Chelsea Piers CT. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Northeast Card Expo Stamford Sep 2026,Northeast Card Expo - Stamford Card Show,Responsive search ad,https://www.dcmgrading.com/card-shows/northeast-card-expo-stamford-2026,Enabled,"Card Show In Stamford, CT",Northeast Card Expo 2026,"Sep 12-13 · Stamford, CT",At Chelsea Piers CT,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Northeast Card Expo: Sep 12-13 at Chelsea Piers CT. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Northeast Card Expo Stamford Sep 2026,Northeast Card Expo - Venue,Responsive search ad,https://www.dcmgrading.com/card-shows/northeast-card-expo-stamford-2026,Enabled,At Chelsea Piers CT,Northeast Card Expo 2026,"Sep 12-13 · Stamford, CT","Card Show In Stamford, CT","Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Northeast Card Expo: Sep 12-13 at Chelsea Piers CT. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Pokemon Regionals Baltimore Sep 2026,Pokemon Regionals - Show Name,Responsive search ad,https://www.dcmgrading.com/card-shows/pokemon-regional-baltimore-2026,Enabled,Pokemon Regionals 2026,"Sep 18-20 · Baltimore, MD","Card Show In Baltimore, MD",Baltimore Venue Details,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Pokemon Regionals: Sep 18-20 in Baltimore, MD. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Pokemon Regionals Baltimore Sep 2026,Pokemon Regionals - Baltimore Card Show,Responsive search ad,https://www.dcmgrading.com/card-shows/pokemon-regional-baltimore-2026,Enabled,"Card Show In Baltimore, MD",Pokemon Regionals 2026,"Sep 18-20 · Baltimore, MD",Baltimore Venue Details,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Pokemon Regionals: Sep 18-20 in Baltimore, MD. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Raleigh Card Show Sep 2026,Raleigh Card Show - Show Name,Responsive search ad,https://www.dcmgrading.com/card-shows/raleigh-fall-card-show-2026,Enabled,Raleigh Card Show 2026,"Sep 19-20 · Raleigh, NC","Card Show In Raleigh, NC",Raleigh Venue Details,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Raleigh Card Show: Sep 19-20 in Raleigh, NC. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Raleigh Card Show Sep 2026,Raleigh Card Show - Raleigh Card Show,Responsive search ad,https://www.dcmgrading.com/card-shows/raleigh-fall-card-show-2026,Enabled,"Card Show In Raleigh, NC",Raleigh Card Show 2026,"Sep 19-20 · Raleigh, NC",Raleigh Venue Details,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Raleigh Card Show: Sep 19-20 in Raleigh, NC. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Poke Fest Nashville Sep 2026,Poke Fest - Show Name,Responsive search ad,https://www.dcmgrading.com/card-shows/nashville-poke-fest-2026,Enabled,Poke Fest 2026,"Sep 25-27 · Nashville, TN","Card Show In Nashville, TN",Nashville Venue Details,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Poke Fest: Sep 25-27 at The Fairgrounds Nashville - Expo 3. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Poke Fest Nashville Sep 2026,Poke Fest - Nashville Card Show,Responsive search ad,https://www.dcmgrading.com/card-shows/nashville-poke-fest-2026,Enabled,"Card Show In Nashville, TN",Poke Fest 2026,"Sep 25-27 · Nashville, TN",Nashville Venue Details,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Poke Fest: Sep 25-27 at The Fairgrounds Nashville - Expo 3. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Poke Fest Nashville Sep 2026,Poke Fest - Venue,Responsive search ad,https://www.dcmgrading.com/card-shows/nashville-poke-fest-2026,Enabled,Nashville Venue Details,Poke Fest 2026,"Sep 25-27 · Nashville, TN","Card Show In Nashville, TN","Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Poke Fest: Sep 25-27 at The Fairgrounds Nashville - Expo 3. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Philly Show Philadelphia Sep 2026,Philly Show - Show Name,Responsive search ad,https://www.dcmgrading.com/card-shows/philly-show-fall-2026,Enabled,Philly Show 2026,"Sep 25-27 · Oaks, PA","Card Show In Philadelphia, PA",Oaks Venue Details,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Philly Show: Sep 25-27 at Greater Philadelphia Expo Center. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Philly Show Philadelphia Sep 2026,Philly Show - Philadelphia Card Show,Responsive search ad,https://www.dcmgrading.com/card-shows/philly-show-fall-2026,Enabled,"Card Show In Philadelphia, PA",Philly Show 2026,"Sep 25-27 · Oaks, PA",Oaks Venue Details,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Philly Show: Sep 25-27 at Greater Philadelphia Expo Center. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Philly Show Philadelphia Sep 2026,Philly Show - Venue,Responsive search ad,https://www.dcmgrading.com/card-shows/philly-show-fall-2026,Enabled,Oaks Venue Details,Philly Show 2026,"Sep 25-27 · Oaks, PA","Card Show In Philadelphia, PA","Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Philly Show: Sep 25-27 at Greater Philadelphia Expo Center. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Collect-A-Con ATL Atlanta Sep 2026,Collect-A-Con ATL - Show Name,Responsive search ad,https://www.dcmgrading.com/card-shows/collect-a-con-atlanta-fall-2026,Enabled,Collect-A-Con ATL 2026,"Sep 26-27 · Atlanta, GA","Card Show In Atlanta, GA",Atlanta Venue Details,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Collect-A-Con ATL: Sep 26-27 in Atlanta, GA. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Collect-A-Con ATL Atlanta Sep 2026,Collect-A-Con ATL - Atlanta Card Show,Responsive search ad,https://www.dcmgrading.com/card-shows/collect-a-con-atlanta-fall-2026,Enabled,"Card Show In Atlanta, GA",Collect-A-Con ATL 2026,"Sep 26-27 · Atlanta, GA",Atlanta Venue Details,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Collect-A-Con ATL: Sep 26-27 in Atlanta, GA. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Collect-A-Con ATL Atlanta Sep 2026,Collect-A-Con ATL - Venue,Responsive search ad,https://www.dcmgrading.com/card-shows/collect-a-con-atlanta-fall-2026,Enabled,Atlanta Venue Details,Collect-A-Con ATL 2026,"Sep 26-27 · Atlanta, GA","Card Show In Atlanta, GA","Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Collect-A-Con ATL: Sep 26-27 in Atlanta, GA. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Midwest Monster Indianapolis Oct 2026,Midwest Monster - Show Name,Responsive search ad,https://www.dcmgrading.com/card-shows/midwest-monster-fall-2026,Enabled,Midwest Monster 2026,"Oct 2-3 · Fishers, IN","Card Show In Indianapolis, IN",At Best Choice Fieldhouse,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Midwest Monster: Oct 2-3 at Best Choice Fieldhouse. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
